"season","name","last_name","team","Plays","Drives","EPA","EPA_p","Exp","WR","OL","nHC","nTM","lagEPA"
2016,"B.Osweiler","Osweiler","HOU",591,159,-0.119300182308548,-0.0320959881337718,4,6.57036130611193,32.8518065305597,0,1,8.3084923601535
2016,"R.Tannehill","Tannehill","MIA",476,148,-0.0145328502753829,-0.004518617312514,4,20.7837959683133,24.6723771494815,1,0,1.05992618448254
2016,"D.Carr","Carr","LV",664,175,0.457112935808814,0.120474041817082,2,17.0293037933922,10.8612095060218,0,0,6.66379083990749
2016,"B.Bortles","Bortles","JAX",765,184,0.00772830281497414,0.00185883361824215,2,17.1633927996393,20.1133509370773,1,0,17.8185129873917
2016,"J.Winston","Winston","TB",711,175,0.344284266860733,0.0847394468363268,1,8.98396341856122,24.9405551619759,1,0,73.1312183674546
2016,"T.Siemian","Siemian","DEN",583,160,0.139858543102957,0.0383831336131615,1,32.7177175243125,17.9679268371224,0,0,0
2016,"M.Mariota","Mariota","TEN",572,162,0.401264857005157,0.113644942018943,1,19.845172924583,18.7724608746055,0,0,25.1183930537467
2016,"C.Wentz","Wentz","PHI",723,169,0.0765372030197254,0.0178904388801295,0,25.6110001932118,49.2106652927159,1,1,0
2016,"D.Prescott","Prescott","DAL",568,155,0.924181851323219,0.252197512244892,0,26.0132672119534,26.4155342306949,0,1,0
2016,"J.Goff","Goff","LA",257,83,-0.967590484089477,-0.312490311982205,0,3.62040316867392,19.3088168995943,0,1,0
2017,"T.Brady","Brady","NE",694,165,0.997662910596046,0.237196513326149,17,13.2150898203593,22.3160479041916,0,0,155.538555523741
2017,"D.Brees","Brees","NO",612,162,0.59587360193516,0.157731247571072,16,7.85425149700599,28.674251497006,0,0,118.906985946635
2017,"J.McCown","McCown","NYJ",495,144,0.177153484710153,0.0515355591884082,15,5.23616766467066,26.9288622754491,0,1,-23.0271698558599
2017,"C.Palmer","Palmer","ARI",325,76,0.0233656249852806,0.00546396153501945,14,26.0561676646707,7.97892215568862,0,0,46.2106857680499
2017,"E.Manning","Manning","NYG",652,169,-0.407605884895959,-0.105652445624873,13,3.2414371257485,9.47497005988024,0,0,-20.2139817336222
2017,"B.Roethlisberger","Roethlisberger","PIT",648,160,0.672163308666739,0.165966249053516,13,21.9420359281437,48.122874251497,0,0,92.6622807071182
2017,"P.Rivers","Rivers","LAC",645,163,0.80797491548508,0.204185908874524,13,24.560119760479,20.3213173652695,1,0,65.8711447804124
2017,"A.Smith","Smith","KC",628,157,0.654568074685921,0.16364201867148,12,4.48814371257485,30.1702994011976,0,0,49.2513348156223
2017,"A.Rodgers","Rodgers","GB",308,63,0.574787838002222,0.117570239591364,12,38.6479041916168,23.562754491018,0,0,180.79299530424
2017,"J.Cutler","Cutler","MIA",486,139,-0.135025544808084,-0.0386184171364686,11,10.4723353293413,20.3213173652695,0,1,-31.759561904579
2017,"M.Ryan","Ryan","ATL",612,161,0.586789856065933,0.154367919651332,9,34.4091017964072,23.9367664670659,0,0,186.300909818044
2017,"J.Flacco","Flacco","BAL",619,174,-0.248782713407206,-0.06993245901915,9,20.0719760479042,15.3344910179641,0,0,-21.5599968131639
2017,"M.Stafford","Stafford","DET",686,180,0.271838077709002,0.071327775492158,8,22.3160479041916,20.6953293413174,0,0,118.779193283396
